Ngày,Giá điều chỉnh,Giá đóng cửa,Thay đổi,Khối lượng khớp lệnh,Giá trị khớp lệnh,KL thoả thuận,GT thoả thuận,Giá mở cửa,Giá cao nhất,Giá thấp nhất
14/12/2023,32.0,32.0,0(0.00 %),15658600,504492000000,0,0,32.5,32.5,31.9
13/12/2023,32.0,32.0,-0.6(-1.84 %),21549400,700751000000,982000,32013200000,32.9,32.95,32.0
12/12/2023,32.6,32.6,-0.1(-0.31 %),12453800,406841000000,1500001,48975030450,32.8,33.0,32.5
11/12/2023,32.7,32.7,0.1(0.31 %),19996900,649302000000,25001,815030350,32.6,33.05,32.1
08/12/2023,32.6,32.6,-0.25(-0.76 %),18079900,591368000000,1,30600,32.7,33.0,32.3
07/12/2023,32.85,32.85,-0.75(-2.23 %),44212600,1446779000000,45501,1502331250,33.6,33.7,32.05
06/12/2023,33.6,33.6,0.3(0.90 %),17904800,601776000000,30000,1068000000,33.35,33.85,33.25
05/12/2023,33.3,33.3,-0.3(-0.89 %),23475500,782830000000,2,62500,33.65,33.7,33.15
04/12/2023,33.6,33.6,1.6(5.00 %),45276900,1503891000000,80002,2567059600,32.9,34.0,32.55
01/12/2023,32.0,32.0,0.7(2.24 %),20043200,635717000000,0,0,31.7,32.25,31.25
30/11/2023,31.3,31.3,-0.3(-0.95 %),16679400,530178000000,294000,9290400000,31.6,32.15,31.3
29/11/2023,31.6,31.6,0.2(0.64 %),12215700,386097000000,60100,1977290000,31.5,31.95,31.3
28/11/2023,31.4,31.4,0.4(1.29 %),21396800,657666000000,0,0,31.0,31.5,30.2
27/11/2023,31.0,31.0,-1(-3.12 %),15100900,473394000000,433301,13919719800,31.95,32.0,31.0
24/11/2023,32.0,32.0,1.1(3.56 %),24682500,768776000000,0,0,31.25,32.0,30.7
23/11/2023,30.9,30.9,-2(-6.08 %),27082200,875254000000,102203,3265641800,33.2,33.2,30.9
22/11/2023,32.9,32.9,0.35(1.08 %),22922800,748017000000,1638400,56273992000,32.5,32.95,32.3
21/11/2023,32.55,32.55,0.15(0.46 %),17289800,562704000000,0,0,32.8,32.8,32.3
20/11/2023,32.4,32.4,0.9(2.86 %),26502900,842315000000,1320001,38980029300,30.7,32.7,30.65
17/11/2023,31.5,31.5,-0.8(-2.48 %),29287800,929542000000,1,30050,32.35,32.6,31.1
16/11/2023,32.3,32.3,0.35(1.10 %),19053100,606495000000,20000,628000000,31.9,32.3,31.35
15/11/2023,31.95,31.95,0.2(0.63 %),26908500,874289000000,413001,12951709550,32.8,32.8,31.9
14/11/2023,31.75,31.75,0.3(0.95 %),23240100,739132000000,1365003,45716587750,31.95,32.2,31.35
13/11/2023,31.45,31.45,0.65(2.11 %),20864700,650995000000,500000,15605000000,31.0,31.6,30.8
10/11/2023,30.8,30.8,-0.05(-0.16 %),32344200,1009596000000,35500,1086300000,30.6,31.9,30.55
09/11/2023,30.85,30.85,0.55(1.82 %),33982300,1056992000000,200000,5640000000,30.65,31.6,30.55
08/11/2023,30.3,30.3,1.95(6.88 %),31630200,933464000000,20000,590000000,28.35,30.3,28.3
07/11/2023,28.35,28.35,-0.65(-2.24 %),18329600,526593000000,745201,21603375000,28.9,29.3,28.3
06/11/2023,29.0,29.0,0.1(0.35 %),17861300,517918000000,1,26900,29.15,29.3,28.8
03/11/2023,28.9,28.9,0(0.00 %),25384900,728657000000,1,26900,29.0,29.05,28.3
02/11/2023,28.9,28.9,1.75(6.45 %),27480700,773776000000,350000,9873500000,27.6,29.0,27.5
01/11/2023,27.15,27.15,1.4(5.44 %),30977100,818910000000,0,0,25.75,27.15,25.75
31/10/2023,25.75,25.75,-1.75(-6.36 %),36435600,969826000000,60000,1650000000,27.55,27.9,25.65
30/10/2023,27.5,27.5,-1.95(-6.62 %),16792400,477742000000,1,27400,29.0,29.35,27.5
27/10/2023,29.45,29.45,0.75(2.61 %),20052100,584542000000,1,26700,29.25,29.8,28.75
26/10/2023,28.7,28.7,-2.1(-6.82 %),54159900,1560584000000,80000,2343000000,29.7,29.95,28.65
25/10/2023,30.8,30.8,-0.25(-0.81 %),14381400,448043000000,20000,631000000,31.0,31.55,30.8
24/10/2023,31.05,31.05,0.45(1.47 %),14254500,440076000000,1,28500,31.0,31.15,30.45
23/10/2023,30.6,30.6,-0.7(-2.24 %),15339400,473230000000,240000,7550000000,30.6,31.35,30.4
20/10/2023,31.3,31.3,1.2(3.99 %),28197400,848456000000,60001,1860028000,30.1,31.4,29.1
19/10/2023,30.1,30.1,-1.45(-4.60 %),28868500,882180000000,0,0,31.55,31.75,29.8
18/10/2023,31.55,31.55,0.1(0.32 %),28495000,890488000000,1,29250,31.8,32.15,29.8
17/10/2023,31.45,31.45,-0.65(-2.02 %),19536600,628998000000,560000,17016000000,32.4,32.9,31.45
16/10/2023,32.1,32.1,-1.45(-4.32 %),28362600,930268000000,0,0,33.55,33.6,31.9
13/10/2023,33.55,33.55,-0.05(-0.15 %),22031600,735889000000,110000,3696000000,33.3,34.1,33.0
12/10/2023,33.6,33.6,-0.4(-1.18 %),18148200,613853000000,1,31650,34.1,34.1,33.4
11/10/2023,34.0,34.0,1.3(3.98 %),23560400,782446000000,60000,1914000000,32.8,34.0,32.55
10/10/2023,32.7,32.7,-0.5(-1.51 %),27779700,924359000000,900000,30470000000,33.6,33.9,32.7
09/10/2023,33.2,33.2,0.25(0.76 %),21954400,725315000000,60000,1980000000,32.9,33.5,32.4
06/10/2023,32.95,32.95,1.3(4.11 %),26498900,849425000000,1,29450,31.65,32.95,31.2
05/10/2023,31.65,31.65,-0.1(-0.31 %),22264000,710743000000,128000,4128000000,31.9,32.4,31.5
04/10/2023,31.75,31.75,1.55(5.13 %),33560600,1052030000000,1,28100,29.8,32.3,29.65
03/10/2023,30.2,30.2,-1.9(-5.92 %),42246000,1302124000000,0,0,31.6,31.65,30.1
02/10/2023,32.1,32.1,0.3(0.94 %),17212200,554803000000,25007,740207200,31.8,32.65,31.7
29/09/2023,31.8,31.8,-0.5(-1.55 %),19989100,645635000000,3,90150,32.9,32.9,31.8
28/09/2023,32.3,32.3,-0.7(-2.12 %),27911500,899948000000,0,0,32.8,32.9,31.7
27/09/2023,33.0,33.0,2.1(6.80 %),32046400,1020642000000,230098,7286817500,31.7,33.0,30.9
26/09/2023,30.9,30.9,0.55(1.81 %),38702100,1213069000000,20003,648084750,31.0,32.45,30.3
25/09/2023,30.35,30.35,-2.25(-6.90 %),42948600,1351695000000,170005,5712151750,32.2,33.1,30.35
22/09/2023,32.6,32.6,-2.15(-6.19 %),69559100,2290018000000,7,226450,33.65,33.95,32.35
21/09/2023,34.75,34.75,-1.7(-4.66 %),49186800,1746538000000,260002,8814067800,36.4,36.45,34.75
20/09/2023,36.45,36.45,0.25(0.69 %),22951800,840075000000,493005,16614268500,36.4,37.0,36.1
19/09/2023,36.2,36.2,0.5(1.40 %),19558300,699529000000,80001,2856033250,35.8,36.2,35.2
18/09/2023,35.7,35.7,0.2(0.56 %),25487500,900275000000,1,33050,35.0,35.95,34.9
15/09/2023,35.5,35.5,-0.15(-0.42 %),23626000,838375000000,690000,24544000000,35.9,36.05,35.0
14/09/2023,35.65,35.65,-0.15(-0.42 %),33908800,1208519000000,1,33300,35.8,36.25,34.9
