Ngày,Giá điều chỉnh,Giá đóng cửa,Thay đổi,Khối lượng khớp lệnh,Giá trị khớp lệnh,KL thoả thuận,GT thoả thuận,Giá mở cửa,Giá cao nhất,Giá thấp nhất
14/12/2023,96.2,96.2,1(1.05 %),1712300,163967000000,4234467,430928431600,95.8,96.4,95.2
13/12/2023,95.2,95.2,-1.6(-1.65 %),2148100,206460000000,2545369,263445691500,97.4,97.4,95.2
12/12/2023,96.8,96.8,1.8(1.89 %),4084900,393398000000,1193088,120796900800,95.4,96.8,95.3
11/12/2023,95.0,95.0,0.8(0.85 %),1564500,148856000000,257300,25910110000,95.5,95.7,94.6
08/12/2023,94.2,94.2,-0.1(-0.11 %),1745800,164616000000,218370,21885443000,94.3,95.1,93.5
07/12/2023,94.3,94.3,-0.7(-0.74 %),3761200,352100000000,1279730,129834568000,95.1,95.3,92.8
06/12/2023,95.0,95.0,0.2(0.21 %),1220700,115606000000,860300,87234420000,95.0,95.4,94.1
05/12/2023,94.8,94.8,1.2(1.28 %),3590200,340743000000,81500,7721500000,93.8,95.8,93.7
04/12/2023,93.6,93.6,1.2(1.30 %),3462300,323128000000,214103,19756492000,92.6,94.0,92.6
01/12/2023,92.4,92.4,0.5(0.54 %),1190800,109607000000,684517,67288021100,92.2,92.9,91.3
30/11/2023,91.9,91.9,0.2(0.22 %),1982400,183126000000,772600,75792060000,91.4,93.7,91.3
29/11/2023,91.7,91.7,0.6(0.66 %),801500,73287000000,133300,12983420000,91.6,92.0,91.1
28/11/2023,91.1,91.1,0.4(0.44 %),1090700,98661000000,1948100,180583315000,90.8,91.9,89.9
27/11/2023,90.7,90.7,-0.5(-0.55 %),1659500,150416000000,482300,47024250000,91.4,91.4,90.1
24/11/2023,91.2,91.2,0.4(0.44 %),2248500,204903000000,167300,16142830000,90.8,92.0,90.2
23/11/2023,90.8,90.8,-2.2(-2.37 %),2165700,200315000000,425800,42367100000,93.3,93.7,90.8
22/11/2023,93.0,93.0,1.1(1.20 %),3271700,303189000000,122600,11854545000,91.9,93.1,91.9
21/11/2023,91.9,91.9,1.2(1.32 %),1460700,133263000000,192700,18691900000,92.0,92.0,90.7
20/11/2023,90.7,90.7,-0.3(-0.33 %),1656500,150719000000,558100,52885000000,90.1,92.6,89.1
17/11/2023,91.0,91.0,-2(-2.15 %),3567900,326823000000,283400,27958300000,93.4,93.5,90.6
16/11/2023,93.0,93.0,0.6(0.65 %),1906300,176137000000,250101,24501246000,92.2,93.0,91.6
15/11/2023,92.4,92.4,-0.2(-0.22 %),2417600,225036000000,491701,48166386200,93.7,93.8,92.0
14/11/2023,92.6,92.6,1.2(1.31 %),1997800,184110000000,208500,20049345000,92.0,93.4,91.3
13/11/2023,91.4,91.4,-0.1(-0.11 %),1532100,139745000000,477400,45809170000,91.6,92.0,90.5
10/11/2023,91.5,91.5,-1(-1.08 %),2406500,220831000000,546301,53030342100,91.5,92.7,91.3
09/11/2023,92.5,92.5,-0.1(-0.11 %),2110200,195362000000,900600,89159400000,92.0,93.3,91.8
08/11/2023,92.6,92.6,4.3(4.87 %),2943200,266075000000,1017900,96089760000,88.2,92.6,88.0
07/11/2023,88.3,88.3,-0.2(-0.23 %),1340200,118289000000,0,0,88.5,88.8,87.9
06/11/2023,88.5,88.5,1.5(1.72 %),1210100,106952000000,785975,73095675000,88.2,88.9,87.8
03/11/2023,87.0,87.0,-2(-2.25 %),4842300,423054000000,606805,57370811700,89.0,89.2,87.0
02/11/2023,89.0,89.0,3.6(4.22 %),2204000,192572000000,1535300,122472890000,86.4,89.0,85.9
01/11/2023,85.4,85.4,2.4(2.89 %),2175200,182351000000,2877301,238104317200,84.3,85.4,82.6
31/10/2023,83.0,83.0,-2(-2.35 %),3087200,259427000000,0,0,85.1,85.3,83.0
30/10/2023,85.0,85.0,-2(-2.30 %),1869500,160890000000,117800,10538200000,87.0,87.1,85.0
27/10/2023,87.0,87.0,0.2(0.23 %),2034800,177066000000,440000,38613800000,87.5,88.0,86.3
26/10/2023,86.8,86.8,-4.1(-4.51 %),5909500,516333000000,189425,17298212000,88.3,89.9,86.0
25/10/2023,90.9,90.9,-1.1(-1.20 %),1836500,168691000000,734200,68308872000,91.8,92.7,90.9
24/10/2023,92.0,92.0,1(1.10 %),1612400,147890000000,1088304,100330210200,92.4,92.4,90.8
